"name","area_2_1_15_S17_noOTA","area_2_2_15_S17_noOTA","area_2_3_15_S17_noOTA","area_8_1_15_S17_OTA","area_8_2_15_S17_OTA","area_8_3_15_S17_OTA"
"group","cE_noOTA","cE_noOTA","cE_noOTA","cE_OTA","cE_OTA","cE_OTA"
"Laurophenone","3324683.52880871","2685771.20864036","3512985.09182447","2434411.11038401","2913983.00128508","2808264.99867765"
"Leptazoline B","7210823.01720903","6975808.98758616","6768815.05222676","7487825.74942136","7193806.26848209","7256896.82793188"
"Malyngolide","2939514.75798689","2104994.79282652","3947459.26660901","2924298.52894469","3744534.56609615","3273011.23655793"
"Maristachone B","9772521.73415927","6622571.45784822","8210455.90239947","550558.929676941","711907.567408205","740286.630303245"
"mebutamate","2224420.22852874","1952402.43035382","2543349.22462584","906180.669733056","1746560.21493631","2593636.55940858"
"melamine","38080712.4352488","37847263.9042366","36518146.177563","35471728.0805561","35982543.8239769","36019262.5363858"
"methallylamine","4201623.79345412","2642011.39649727","3829186.61070472","2044152.41334423","2404809.38939691","2752666.27552174"
"Methyl b-neuraminic acid methyl ester","3309314.19544229","2970699.36695856","4085461.48268095","7285394.09559903","8053112.60586734","8650682.5987662"
"Methyl diethanolamine","25726668.322487","16415371.3929413","21338901.9801243","3285983.02564144","4032649.2756211","6325821.46924964"
"Methylfarnesoate","1395340.50799111","1585495.67999735","1617789.80144387","6636287.35640268","6209843.03944945","4588348.5062788"
"MFCD00001109","206566.119488178","216188.492447474","239616.209463086","489397.088714487","390892.702902822","315441.578211172"
"MFCD00042968","87611.9369586587","100882.95413874","85612.6436553187","87097.2783479197","92680.9924833923","100504.915465436"
"MFCD00046712","388758.943422745","248223.26755591","556639.737537438","420887.800164922","641216.208659502","545443.375582554"
"MFCD00144215","1464904.15031013","1379991.06757176","1406101.27613136","1676551.1934573","1694194.24498096","1682457.09557179"
"MFCD00270409","5630103.65004842","4315999.97637946","6740676.02032462","5252225.69647164","6145060.68818801","5587495.87002504"
"Monoelaidin","856160.883175896","582685.623218874","1186853.92564437","894662.857077624","1187176.50941121","1076973.19880046"
"Mucidone","263310.845236466","274849.228064416","236234.539373871","536996.54626606","438107.83143525","364320.424384369"
"N-(2-Hexyl-4-oxo-3(4H)-quinazolinyl)-4-hydroxy-1-isobutyl-2-oxo-1,2,5,6,7,8-hexahydro-3-quinolinecarboxamide","780735.676472503","467093.928773225","470165.433826978","2700680.6146641","2697320.34140614","2665538.78885128"
"N-(5-Methyl-1,2-oxazol-3-yl)-4-[(phenylcarbamoyl)amino]benzenesulfonamide","1274062.25854178","1249738.46896708","1284948.67259925","1566881.76399028","1464529.8236842","1387153.7474514"
"N-(6-Aminohexanoyl)-6-aminohexanoate","1960770.61580744","1440482.63846692","2074816.10768966","2318878.1352534","2694661.92758459","3837352.48068657"
"N-[(1-Methyl-1H-pyrrol-2-yl)methyl]-2-[1-(1H-tetrazol-1-ylmethyl)cyclohexyl]acetamide","376418.295720122","363061.976292186","702139.982096873","849338.155984684","806082.141774084","723819.742244208"
"N-[2-(1-hydroxy-4-methylpentyl)]acetamide","2517558.37428371","2245151.89115021","2812129.54374206","3023456.83371275","2688918.29871516","2667899.79624295"
"N-[3-(4,4-Dimethyl-2,5-dioxo-1-imidazolidinyl)-2-hydroxypropyl]-N-(3-nitrophenyl)benzenesulfonamide","2410439.22906626","2503403.59969852","2325724.08613677","2623295.84795213","2717609.27665987","2656705.07730515"
"N-[3-(Diethylamino)propyl]-2-(1,3-dimethyl-2,6-dioxo-1,2,3,6-tetrahydro-7H-purin-7-yl)acetamide","992109.639234956","1198030.86574838","998043.14073062","540120.941580034","378187.729505809","594541.821836928"
"N,N,N',N'-Tetrakis(2-methoxyethyl)malonamide","2921258.12518156","3162759.77134135","3085399.19608467","205044.752740516","388304.471640972","354650.667580136"
"N2-(D-1-Carboxyethyl)-L-lysine","926149.98236536","695882.204212627","1006978.40517166","989152.626309655","1085393.06157218","2036864.7684126"
"Neuraminicacid","6805972.63481419","7872353.19624913","7054302.0692319","3167583.6827576","3069749.75336206","2567285.89978809"
"Nitrilotripropionamide","5911133.46059412","5092860.86427162","6352267.90244725","5996496.01958794","4904704.9323931","3448339.16978091"
"Not named","2064245.30365293","1015079.20606076","2219151.46472472","4913390.85345258","9649697.10226654","10970318.7742887"
"NP-002322","3677692.33749887","1395329.46890854","3866151.17101488","3589057.31408517","3703841.31760399","2978360.48832323"
