"name","area_2_1_15_S25_noOTA","area_2_2_15_S25_noOTA","area_2_3_15_S25_noOTA","area_2_1_15_S17_noOTA","area_2_2_15_S17_noOTA","area_2_3_15_S17_noOTA"
"group","cA_S25","cA_S25","cA_S25","cA_S17","cA_S17","cA_S17"
"C12H27N4OP","294069.117724307","412945.767131161","217902.485058174","351424.616704077","374547.312669661","339960.187239025"
"C12H29N4O2P","539571.362702664","729628.072106649","634992.908560112","733577.465058612","706835.381982285","919004.125656007"
"C13H25N4O2PS","239952.6111552","275766.735506425","236260.813792519","267646.833061792","238311.923283487","279548.666187219"
"C14-Carnitine","537517.780151988","659591.289484606","750956.439876519","1104967.08094547","843061.086493804","1157538.21260553"
"C15H37N4O2P","369793.726139032","488243.442510703","601654.153348743","183694.568470063","138620.725261235","199844.03931169"
"C18H37NO5","706215.203952275","926125.817207768","989900.448413184","366092.686018525","322944.797609032","562252.52203548"
"C26H51N5O4","308078.014645325","350363.284239801","313087.896760738","319224.892635927","205492.616865826","280404.634059746"
"C3H11N8PS","2327211.77241021","2118872.61041746","2261817.91488027","2511930.60189527","2349457.50572737","2312395.21261223"
"C3HO7P3S","360462.423003711","571916.858466207","234693.067910763","234381.329610631","134405.90209661","215331.781128765"
"C5H13N8O5P","1149610.53112525","1127187.04328935","1206145.25719074","1823561.63223265","1682671.79255375","1777019.09023007"
"C5H16N2O6P2","412634.741729231","425723.955097793","431163.059431546","298391.442972938","425844.20529185","288339.806041584"
"C5H18N6O13","568735.981347873","527169.523412683","569155.838149396","974296.375458416","1009974.81384901","1024219.2764188"
"C5H9ClN8O4","572259.432023984","538228.387883305","517275.313354725","601201.343527664","584534.779315265","557423.472193129"
"C6H15ClN8O5","447804.054600582","421607.508626539","475595.524661858","429452.324927442","428262.90401659","344780.644399097"
"C6H16N3P3","2543180.67567628","2366575.61862396","2322953.18744617","1561828.26212699","1481401.49199595","1435176.07948602"
"C6H16N6O4P2","2856784.81950904","2674399.91699091","2740387.542169","2941457.57387756","2798819.59816377","2777776.12797468"
"C6H21N7O5P2","443837.720573417","434426.825977869","422798.536459917","391507.602422796","399679.167651792","404770.807946128"
"C7H16ClN2PS2","334914.997713452","275521.746546999","259334.818054342","152352.102853639","239374.986949099","209559.686617063"
"C8H14N10S2","3731602.09432294","3570538.83303709","4099730.7390618","1591120.42872852","1551530.12456616","1492638.48821269"
"C9H24N6O5P2S","1085546.90202814","1045406.95923598","1123014.09244409","1195610.39562415","1071120.06426855","1058764.24443133"
"C9H26N5O2P","143965.13547287","93465.5879077368","175380.618920253","158473.879731914","21261.1328754232","148315.881266262"
"C9H7N2O2P","531346.344527296","563979.140655454","552613.946635475","550296.680239875","549984.907072197","542859.017011608"
"Cafestol","3074595.6935183","4124223.60819659","4757008.71545806","1374665.33173476","1478482.84536792","2458958.39389005"
"CH3NO5","1678406.73336551","1203394.23975654","617795.894408268","561171.305282777","1636422.48626285","6637969.09428616"
"Chaetomellic acid B","1716752.51018388","2123475.42387501","2410361.37820028","4282559.54812201","3410844.6690977","4583458.30116856"
"Citreodiol","533524.826814818","732849.27990431","471526.691753743","1079022.32331525","1526483.1294452","811143.086082035"
"Confluenine A","6379999.76509621","12938984.5958933","5372661.64180255","3108062.07271753","2220409.92435472","3028775.50977769"
"Coumarin","207990.444493223","279453.725913746","164378.150886595","263516.975002617","193208.503304109","216452.650416772"
"Coumarone","399529.575753337","536544.005289971","344751.225699348","484279.043442145","360805.654421952","404708.823469265"
"CYCLOHEXYLPHENYLACETONITRILE","350122.145781992","329293.695105886","353309.797777063","368144.813577349","355850.499057452","350974.830160759"
"Cytidine;1-beta-delta-Ribofuranosyl-Cytosine","537396.047356343","762778.341453681","569680.658515613","249700.708901809","220182.426555572","319935.692149286"
"Cytisine","3140103.82932553","4471058.31098413","2019228.27470138","188809.900296835","127001.268134657","129429.671727331"
"Cytosine","1523725.26858605","1705834.97521637","972138.821521902","1948271.00280726","1634152.62429183","528965.862281747"
"D-Arabinonate","7034198.7206327","6552483.5934604","7576188.08357792","7145444.55771413","7055260.99579438","6973753.6699689"
