"name","area_11_1_856_S25_noOTA","area_11_2_856_S25_noOTA","area_11_3_856_S25_noOTA","area_11_1_15_S25_noOTA","area_11_2_15_S25_noOTA","area_11_3_15_S25_noOTA","area_11_1_92_S25_noOTA","area_11_2_92_S25_noOTA","area_11_3_92_S25_noOTA","area_11_1_856_J25_OTA","area_11_2_856_J25_OTA","area_11_3_856_J25_OTA","area_11_1_15_J25_OTA","area_11_2_15_J25_OTA","area_11_3_15_J25_OTA","area_11_1_92_J25_OTA","area_11_2_92_J25_OTA","area_11_3_92_J25_OTA"
"group","cD_noOTA","cD_noOTA","cD_noOTA","cD_noOTA","cD_noOTA","cD_noOTA","cD_noOTA","cD_noOTA","cD_noOTA","cD_OTA","cD_OTA","cD_OTA","cD_OTA","cD_OTA","cD_OTA","cD_OTA","cD_OTA","cD_OTA"
"C9H17NO9","604124.364220219","1416200.55265604","1525381.32607213","6628987.92629015","2590110.01143344","3926142.95787919","2082324.3646212","1957198.6179256","2970955.96806235","1606768.31058104","1178043.85334728","1270577.84306131","1704776.06933214","529028.526756991","1496512.17131885","4019338.63266288","4302621.3750677","4311620.3461224"
"C9H20N6O6S2","1174183.59042183","1172549.82788159","1129893.67473291","1237777.67606233","1293175.50452786","1178159.40681482","1213332.16156641","1125732.33354148","1141931.27612099","1041873.77655783","1209991.95310933","1221727.84709373","1198327.01278124","1303502.01521414","1147599.10092971","1215686.99159741","1200741.81335198","1117350.8045021"
"C9H20N7O3P","128220.545296504","151078.098764906","155089.788486462","22356.0610380112","5121.11189832527","9297.34035374861","3770.36121756901","4263.46738072029","13689.4707910928","43772.9598639451","77609.6281397166","31701.2000125071","121553.146428424","9586.02864616497","158734.366080208","105384.574407911","209694.598091765","98516.1152419716"
"C9H21NO8","519599.374044358","485013.497806197","638286.568973763","1342934.80183432","1202076.97973275","1281636.59866621","880826.06749184","1059236.28048953","953499.111366133","828196.670572017","395483.330853167","574829.341830809","907898.618077676","1028960.79527322","1016702.14778523","977658.455262124","995396.963866785","1043389.02816146"
"C9H9N2O2P","307835.65560268","246593.311199162","329234.84659802","252159.993730222","91257.098247268","75885.4610043215","436368.586190732","175726.062360088","179017.034143411","246499.295095535","338009.185540514","121179.058214596","282432.378246541","274365.335470099","52587.3858062685","261906.976511712","226750.26610199","296692.903380112"
"Capsidiol","190200.7979469","242427.484943585","274339.169979498","152550.329071001","195385.829692355","163844.288966136","300273.334632895","329987.082312857","328704.092945312","255302.27262322","123344.989535552","159662.234260896","228263.821406919","200790.613420767","226376.423459216","191269.618244309","536149.480445987","184966.215379369"
"Catathelasmol B","464608.070135581","320794.419817041","261007.440864391","57169.7450373183","92920.0125876762","103967.216885904","30398.7580049741","108471.727858156","94967.1775240969","331350.618759496","360533.35025395","167517.824446071","53744.8719441086","49332.9085616292","62798.8600308372","19824.3093753234","92629.19982207","19876.3017204105"
"Catechol;1_2-Dihydroxybenzene","2432271.77878253","9449814.80698637","3504990.10401572","1945572.84743996","2881041.70920813","3505767.72514876","1523843.13918718","2370593.87587796","2033477.06032893","3705996.39748783","2954260.47879301","3575047.09729634","3624673.62349146","5739496.68563271","9860066.32529494","2332562.72848785","5538448.37006238","1395213.54174377"
"Cephalosporolide J","290035.666084359","273791.540966396","331930.279366419","307594.802319709","328361.406095764","1159291.92810123","286878.393473715","326582.768214201","344438.611338001","774247.556540039","793430.31620017","892165.509402413","805062.47300321","815871.993532004","865458.852730061","749812.796716234","824490.676734921","797099.3958189"
"Cetoniacytone B","513166.81564298","401576.346228133","358074.033073558","1644734.39770884","1468875.40340819","1435848.34868514","1973018.22494693","1912348.00455374","3191351.28322313","221471.132957823","258251.385209512","146440.856876499","365253.148747566","2056360.57965854","271902.602595395","1467252.93873288","611931.905664337","1018238.5560685"
"CH3NO5","528172.184276221","1613649.55715454","1819025.3054411","1201699.57882935","1882582.11913893","3000054.53776277","2002081.38390558","1562723.22941837","1770527.12359339","2397782.63073718","2484612.49837992","985923.060896983","844421.145312489","913062.808601082","417830.726745562","1050578.5918317","675047.486983587","724706.716967783"
"Chaetomellic acid B","5824776.78022278","4770720.41847831","6937146.88484222","3565178.95948379","2314160.22217321","2463704.09082897","6417980.81894631","3724151.04529738","3217834.60330252","3246033.21338992","1587512.30301207","2246558.56854571","2886925.86310027","2600571.61994518","2231194.61666494","1608705.56522153","3312044.65685297","2093409.44357017"
"Choline","377602171.751616","383953003.588443","409348321.803022","609977483.982992","589059233.133115","710564251.711567","517613106.310556","544256166.115751","698939677.099405","479703668.697038","431357586.391438","474901106.794928","784682917.282301","628966027.720457","845645217.414775","938531969.225576","1607606898.67504","766617424.032337"
"Cholinephosphate","288089.189457146","405098.672577594","432170.328770032","171568.123336946","152699.455319352","52916.1397651281","376536.722309897","134780.076213343","126981.060413333","242627.910795454","394813.561727144","436802.214885406","842538.489249187","538958.014903299","517501.373619508","260063.223962351","238724.084493047","401595.361840541"
"Cholinesulfate","465694602.851639","471999603.977366","538325686.283061","269988768.817207","321893512.300004","340998335.267509","212726639.855003","214706897.159433","240541466.282807","106931321.9313","139113181.502686","155743269.82814","70935362.9500808","78272193.3415277","116780859.810235","97577830.3621115","133880399.626032","99015317.0414282"
"Citreoanthrasteroide B","195146.60188049","184150.448965316","195980.219908348","182742.240400496","3757.29923945465","3741.6630805147","93557.2143472449","10851.6350322049","48134.7349263559","146765.953647985","68702.7979783611","31207.2419731765","56873.415522069","51049.2945648599","3970.21538949734","154017.227592601","71955.827308228","265846.746629235"
"Citreoisocoumarin","1599423.4933942","746637.244966385","883276.119942461","19558.534092677","32868.4971883753","34405.0509081663","28042.7265695012","28033.8095079155","45799.7120849272","947804.224542973","671092.327801794","772267.040744555","197229.499374704","310718.117260707","314373.094818355","91405.0456416306","131327.601269833","122582.739577509"
"Cladodionen","10039.6416714143","28067.7300233737","22105.0813161003","141427.995222077","28216.5200445249","22127.5174032298","218830.415333845","273556.105455604","693441.312789456","8274.44193722525","218747.047824671","70608.4335333711","131386.151243373","221025.86927034","232115.659116508","959618.181137984","613708.752085929","811723.269386214"
"Columbianetin","5063805.24730173","5100741.15858387","5925418.56811515","87494.6861777898","91074.5337939944","118358.089409728","10835.0010480012","12909.5405244355","17683.5422942596","5648462.76148226","1464740.8040071","2939381.71006338","122265.407093879","63479.746153832","117901.809825307","16845.885539193","39476.8920596647","18077.1753001288"
"Confluenine A","1591092.74955604","2187567.7537879","2675087.55320724","8198937.94266137","4910366.76711686","6661902.99203844","3672576.35558551","7405412.51222384","15162447.2041017","1990175.00527756","3478064.95886491","2563317.10995955","8520147.49441883","3550160.60756958","10846105.1109293","16997330.6770833","27661156.6710115","9339430.19172774"
"Coniferylalcohol","520447.823426101","397613.883539124","461962.827118494","444856.950620492","425177.176558253","440972.46014252","442692.521093964","463548.252520917","488124.67589642","590153.440255122","614794.41826414","522147.925118241","551497.848970146","666723.608503499","539629.05202421","396803.030241325","619089.246213873","461998.578238909"
"Corallorazine A","139792.108141674","259036.687502782","291161.294145985","440793.747690125","243091.620176069","293410.358515951","447434.759125495","522406.0884599","813228.835161245","861626.204657209","1500254.06916294","1022485.24049578","2570202.88177737","1320490.14185109","2701837.78979653","5753705.00900948","7822028.99761003","3546330.23886982"
"Cordylactam","12285.5480673413","22369.4611773386","15803.1763762563","322723.931700083","125376.42620506","133883.835658621","221595.667714222","266894.376116607","415542.603965267","8932.24721715081","125224.832042803","46654.0792805193","17776.2483900722","99837.9436584519","41801.5587940762","549204.574710492","74797.1688462938","477596.264398186"
"Cortol","1181001.85316792","1010312.96864226","1433407.14632908","302640.82367431","429491.554701393","545575.70291546","438561.142960005","361197.085865189","349063.062644982","615837.02678154","421238.449222186","587747.669776363","461366.564226113","437719.748520363","427013.997361205","295580.996275123","907790.118683912","313224.455551407"
"Coryoctalactone D","6970185.50517987","5391484.57248962","6398238.65012036","383606.562335059","395239.046502378","413604.597039714","516935.927735091","364096.060287093","590706.373503036","5000248.67476074","5419922.86266316","6191612.90880472","889976.885336875","1490626.76922406","1422703.98558786","511566.386517915","513781.836564621","673048.202059706"
"Coumarone","53246.0456395931","74047.8907995456","72123.0064508765","475218.999539003","111088.608049677","147159.168473305","236474.627664127","229198.24124131","419839.4114312","12560.7478075388","73413.7399601292","80969.168589867","147996.702173805","216298.010985189","199195.824410807","369559.894103655","370779.22143168","280252.081740017"
