"name","area_8_1_15_S25_noOTA","area_8_2_15_S25_noOTA","area_8_3_15_S25_noOTA","area_8_1_15_S17_OTA","area_8_2_15_S17_OTA","area_8_3_15_S17_OTA"
"group","cB_noOTA_S25","cB_noOTA_S25","cB_noOTA_S25","cB_OTA_S17","cB_OTA_S17","cB_OTA_S17"
"4-Cyanotetrafluoropyridine","470496.104662824","1018179.39074714","1465497.65885003","2383461.25460327","2046085.76653795","5923583.43265726"
"4-Guanidinobutanoate","310351.754973757","463484.712887627","630840.157347705","147339.47587981","237077.414638813","62590.1164659781"
"4-Heptyloxyaniline","371268.721275682","1838373.53130167","233726.078011211","921274.75909017","1451553.15138739","702720.451152141"
"4-Isobutyryl-N-(2-isopropyltetrahydro-2H-pyran-4-yl)-1,4-diazepane-1-carboxamide","4125958.18053033","4224608.00609974","4634788.22452857","4088328.6580999","4339051.95621469","4198455.06230106"
"4-Nonanoylmorpholine","1352023.85425471","6784822.9085226","1031152.966697","2381123.06684754","3950858.60521794","1775077.62329726"
"4-O-methylmelleolide","13786776.8424901","19253809.642635","16400011.4898942","4771187.40952782","3795861.4705508","3766594.22721835"
"4-Oxocyclohexanecarboxylate","176647.516632337","236501.569582179","202067.413797971","212797.214513041","267163.351686897","265203.167936653"
"4,10-dihydroxy-10-methyl-dodecan-4-olide","306703.253341619","354263.938324025","272172.390729395","578714.461742841","684467.271885978","733397.256855908"
"5-hydroxymethylfurfural","3398228.42441352","6333413.40262985","8563980.72454276","455241.409052957","979445.549133319","948139.783246055"
"5-hydroxynorvaline","2043898.30638184","3174120.98192916","2661401.18733735","1866355.23480417","2165527.91187239","2319179.53397766"
"5,7-Dihydroxy-3-(4-methoxyphenyl)-6,8-bis[(4-methyl-1-piperazinyl)methyl]-4H-chromen-4-one","1670258.9701899","1247090.41247466","1291692.85109657","1642318.86723476","1547644.0796663","1567691.33466181"
"5,8,11,14-Tetraoxa-2-azaheptadecan-17-oic acid","339090.57552685","484744.945512365","527789.828949158","320977.922124289","391216.370569417","369625.473284571"
"6-formylsalicylic acid","311365.35259293","338656.899621178","278115.706943879","514401.515929938","591743.44491393","610907.077285285"
"6-heptyl-2H-pyran-2-one","281250.997620031","317182.705682584","169623.667024027","464168.079505192","446825.175447161","491858.17345636"
"6,7-DIETHYL-1,1,4,4-TETRAMETHYLTETRALINE","458407.026655373","372963.538278854","263224.407099054","339154.153859765","388844.345601563","305092.902229706"
"8'-Hydroxyabscisate","177871.833483989","313077.011474659","204598.783286434","236920.751042516","178049.121455387","196088.741240284"
"8-{[2-(Diethylamino)ethyl]amino}-3-methyl-7-(2-methyl-2-propen-1-yl)-3,7-dihydro-1H-purine-2,6-dione","975865.785161947","1434781.89523531","751598.879900825","723958.367136618","726714.89414526","684400.522032362"
"8-amino-6-tert-butyl[1,2,4]triazolo[4,3-b][1,2,4]triazin-7(8H)-one","711350.452072789","939480.487705628","618982.315353229","978296.935418293","1127455.25141247","1079927.93359398"
"9-Fluorobenzo[h][1,6]naphthyridine-5-carbonitrile","7338765.04614169","7402614.97894009","7488305.80461994","7108488.28303078","7060801.02637681","7161572.75829078"
"Acetonecyanohydrin","1177609.3052325","1347755.0624715","1065222.58239605","909743.742128638","982975.071799582","1080305.81870579"
"Acetyl-L-carnitine","48234892.1525883","55639344.7360276","50708012.6312625","56999407.9463152","69677912.5857064","74163714.4505398"
"Acetyl hexamethyl tetralin","772684.641964413","1024438.57131464","519848.056428167","2382381.76310439","2045158.05642787","1579964.93993894"
"Adenosine","1133032.42671433","1116348.69283201","1072488.8003389","460780.244224557","575820.898764085","434981.09457147"
"Aflatoxin b2","841424.366101389","1095356.86474018","776997.999427225","6418866.58173297","6771804.8014518","3429553.71651035"
"Ala-Pro(Alanyl-Proline)","909669.200885545","1478190.63856829","1046633.75659614","474535.488404591","663478.357222849","869004.053884432"
"Aleuritic Acid","335038.342369506","355186.94337373","253778.800705676","860196.253859325","1029628.98221547","784645.461213127"
"Alkyldihydropyrone B","212989.506766529","271791.551647405","140458.437533239","438736.766178775","342028.594557056","249201.935563466"
"Allahabadolactone A","844949.998251202","961022.116364108","371716.603044109","1847795.5443611","1257458.68370097","1042144.4748594"
"allopurinol","65588259.7555773","117852023.679173","101841097.616314","5388850.41222702","6908810.86452497","9113796.26537441"
"AminoDHQ","754812.613303446","779265.533105073","964051.085565621","298717.175615408","283849.116708754","282327.190204863"
"Antrodin D","327389.937969005","333133.431486511","274997.870807148","1058918.70388206","1442791.12860702","1306217.12840411"
"Benzoxazole","1057295.36047195","1058639.28430335","925772.890685444","533472.437233081","1134558.16691272","530683.389913992"
"Besarhanamide B","703798.413409946","461820.183098357","394604.629472205","692751.251273555","653270.118051637","503965.814624173"
"Beta-Alanine","2081948.15950573","2480874.58647394","2826449.43246108","1780883.5108092","2173294.32022858","2004266.62834786"
"Betaine","495772280.445281","494336939.389319","392219385.020805","486280835.648001","424063663.69774","423887780.072766"
"BOC-HYP-OH","152163.149315199","205907.83011026","183193.945743796","398293.299334741","458262.498327728","460802.878250897"
"Butylbutyrate","2103380.64369756","2264391.56111731","2479781.02832873","2641466.20787881","2166933.49460853","2526358.72391085"
"Butyryl-L-carnitine","3138435.561656","3886031.78937162","3955939.76120367","2632806.59932054","3058058.69755247","2709695.0324647"
"C10H11N3OP2","455789.332607541","512355.81370119","489916.187489499","533119.176760667","488010.867927368","501633.645817249"
"C12H24ClN4O5P","176991.307179268","187571.178451607","174289.327696745","179551.290539033","173074.979449793","167845.067905707"
"C12H27N4OP","138161.778440155","163361.123501971","116493.879267334","172694.954316138","213461.451707131","177262.182053982"
"C12H27N4P","122933.934679799","161107.020566869","110688.604646837","392191.051189549","429888.127398008","326129.575377684"
"C12H29N4P","354671.959786601","430242.580738262","394907.658639642","109482.572345646","153334.471495136","125455.186626269"
"C14-Carnitine","1219574.85264898","1007886.00688579","761066.079447921","962914.865173449","1088409.20451203","876467.755091422"
"C14H32ClN3OP2S","72418.2524742024","76343.2567316688","75676.0128172776","67934.7371355956","69098.6516362041","62710.6258631059"
"C15H30N2O7","457420.249609878","578758.740886149","306232.899034495","1442291.1148599","1389829.30383518","1104042.60514745"
"C15H35P3","355006.547748476","398103.518988166","254410.18900277","596824.677408739","544703.893805773","400297.393888529"
"C15H37N4O3P","601873.00980228","424541.86190973","319557.99921714","234513.688882555","248496.192938561","179841.62220582"
"C17H35P3","661802.792810787","846577.061455995","506157.29326694","342849.47774259","272426.708529591","249488.444548342"
"C17H37P3","2144380.05004693","2855947.87626641","2248743.64815902","2037209.23597194","1889855.635901","1520819.0448834"
"C18H37NO5","304913.765488525","535576.895653393","476687.635709344","61123.8205766324","358062.414789287","376059.919722198"
"C21H41N4O10P","81830.3866396369","63506.7683107368","95051.8769239867","158121.290929731","123405.793372509","121087.096506365"
"C24H46N4O18P2","139597.323142314","131462.214755973","138066.317825996","85423.7322108362","145582.687979494","119773.74397921"
"C24H56N9O4P","245560.99259376","242411.371162878","244647.283969913","246269.361902562","252461.36111972","238226.754832813"
"C2H8N9P","2787137.10394314","2100394.74984547","2054730.97683114","3380048.69827017","2389781.23346194","1929197.95488321"
"C3H11N8PS","2658662.04945947","2793537.25237848","2794413.82825432","2569488.56108825","2727225.03778676","2601127.74538544"
"C4H9N5O6","1389239.29915672","1369589.19824201","1463035.14505359","2838657.52362782","2752684.75594047","2701602.79756489"
"C4H9N8O5P","2705078.86738167","2714471.41348267","2736442.08054198","2066055.10710577","2133741.65382602","2090902.26255555"
"C5H18N6O13","440658.565338575","515975.176541382","469527.18343726","460282.365735661","452122.88327277","451562.05636582"
"C6H15NO6","952956.280006948","4025976.19150177","5445457.07261706","470130.746360112","843126.451203123","783245.858970349"
"C6H16N6O4P2","3001911.7600088","2997374.18771211","3070552.33249488","2889046.18580179","3019130.79114525","2899569.70496985"
"C6H21N7O5P2","424288.707043579","390694.809606682","408711.98611371","385078.188685374","388686.13414633","390344.096351513"
"C7H13N2O7P","325073.235073566","647704.533003421","895535.870397449","728382.997245823","844645.114431828","1266799.07594559"
"C7H22N9O6P","503585.175105145","573366.494448546","525215.562179623","427570.530058738","454400.289025989","455833.759840049"
"C8H14N10S2","4472305.46773171","4538196.70209894","4731244.79398559","3946799.65585444","3984241.9472082","4086826.36032977"
"C9H7N2O2P","545528.445766419","548567.963982493","552025.731715027","517590.064809449","470409.727642412","531351.568979467"
"CH3NO5","627273.70821189","869515.75649889","2378541.79485391","1907864.31607032","1703095.82968487","10394670.6373427"
"Chaetomellic acid B","4078595.26406351","2635497.46428521","2133406.57349669","5312068.17116906","4842245.87044773","3626236.07029314"
"Choline","437446926.427036","587983455.426163","453711619.379557","471874486.7456","524177760.68066","543824891.263699"
"Cholinesulfate","217224829.716078","239352792.080081","205376818.730356","225598618.12441","264895705.463362","261966629.755471"
"Citreodiol","5048932.02044774","5719530.97362644","3792103.54756291","4065930.5312544","5010657.381815","4844865.58279384"
"Confluenine A","2334656.11611366","6217795.92706462","3795074.73572486","846489.645791993","1093536.48714252","1625073.08093727"
"Confluenine E","3938838.02982384","10400533.6919591","11091776.7155638","668278.277424771","1974526.26479934","2375344.2487782"
"Curvulide B2","207309.115261117","338690.292005143","263693.234676723","118468.214577252","246531.628442361","279996.664804712"
"Cyclooctene","4442131.96316266","3168822.5602776","3349908.09312796","5132882.6305872","6355936.0992829","4665664.67544445"
"Cylindrocarpyridone A","109882.362474399","109504.606928881","93751.2674427999","176150.196560493","224279.807289769","196411.471553949"
"Cytidine;1-beta-delta-Ribofuranosyl-Cytosine","895510.617186543","1517290.62487185","1423860.35844726","259983.353235629","334751.472946954","761026.930652907"
"Cytosine","1286351.82535329","2134441.21386627","2166899.55135107","392530.824041226","573065.60686196","1203395.1178082"
"D-2-Amino-hexano-6-lactam","486112.502481819","430329.128942289","476704.559749262","240789.286142923","488833.902139792","435865.191954178"
"D-Arabinonate","6470128.75441746","10048977.2499588","10344215.1108927","8207914.28306693","6098840.43444833","9833399.34851227"
"D-Phenylalanine","7696299.86822064","10049148.2638516","8588677.63462366","4029873.88010296","4560580.17013649","8506958.33410733"
"D-Pipecolicacid","11534215.3892632","11770380.7475185","8125710.91536742","13538790.368951","11584604.7876458","10616315.3091202"
