"name","area_2_1_15_J17_noOTA","area_2_2_15_J17_noOTA","area_2_3_15_J17_noOTA","area_2_1_15_J25_noOTA","area_2_2_15_J25_noOTA","area_2_3_15_J25_noOTA","area_10_1_15_J17_OTA","area_10_2_15_J17_OTA","area_10_3_15_J17_OTA","area_10_1_15_J25_OTA","area_10_2_15_J25_OTA","area_10_3_15_J25_OTA"
"group","cC_noOTA","cC_noOTA","cC_noOTA","cC_noOTA","cC_noOTA","cC_noOTA","cC_OTA","cC_OTA","cC_OTA","cC_OTA","cC_OTA","cC_OTA"
"1,1'-(1,4-Phenylene)bis{3-[2-(dimethylamino)ethyl]urea}","87807.778896008","114659.952349072","51153.5035293697","156119.012495078","91086.952974699","134116.314104524","267901.741359377","278251.978546106","197121.774508635","551189.634672024","359907.670430423","204870.459635022"
"1,1-dipropoxytrimethylamine","204411.25770702","180905.198110172","169665.245200238","102870.736871383","94023.9616883474","85737.5885523847","160575.112221814","214548.458117342","180474.326482737","139499.061151248","149676.289374583","129761.40106137"
"1,1,6-Trimethyl-1,2-dihydronaphthalene","137144.602235567","101270.76984106","183295.299469881","136826.569718708","426372.69377957","327361.361700878","265827.592603664","13413.0548963366","120401.114049669","65019.2723413122","317034.079625569","149954.858330283"
"1,2-Divinylbenzene","3698907.46625888","3688614.01299946","4280746.45522298","3535630.31914489","4584100.75122292","4599289.4074785","5170070.60739079","5064549.50704779","3703158.43485057","3222549.41922745","4696783.1692908","4753461.41810142"
"1,3,4-Tribromo-1,1,2,2-tetrafluorobutane","18963.893342574","15397.966984303","18197.5655147326","15200.8839496226","6952.92576064906","8233.61318119239","9795.47483411242","21440.1755920556","14779.5220168436","36916.3188132421","36369.5573761747","79348.0951061953"
"1,3,5-Heptatriene","2799399.31128753","2743509.71197911","2504195.61859978","4013143.37067575","3424139.29435196","2863768.02642142","12743072.4565054","17235708.8188778","14821219.9933436","10819323.1464997","10495327.2345737","7249279.11015907"
"1,3,6-Octatriene","67402930.5358014","64230577.7187216","70828491.2454166","69776152.1644066","82425296.5311712","70493424.2664807","106450632.13133","99372852.1575706","94092190.0175001","93667511.0002711","93948468.8171036","95199633.777863"
"1,4-Anhydro-5-O-tetradecanoyl-D-glucitol","2449.72054407128","2493.91407072145","2442.35659849762","2410.5968014839","2468.92989133017","2437.33214677769","1064597.43837714","1127666.37177299","823978.610830712","1541504.08282654","1509407.34866325","2151987.98626664"
"1_2-Dihydrosantonin","272191.256032931","235303.249089246","160987.912757194","6339.08415815988","27779.5326744803","37924.701620715","196517.714648478","182183.198551916","104503.50539502","420455.02960205","103327.02475513","123164.514201775"
"1_2_4-Trimethylbenzene","1795083.81672261","1921501.6651182","1277676.30872611","2076605.02940828","1357239.85703669","1381129.31868723","5616605.13615806","3508427.65532278","7352568.82352942","3176114.6483001","2374583.74694455","2486440.7894101"
"1_4-Dihydroxy-2-naphthoate","2587.05190083714","2631.26288258546","2623.51114977433","13567.8583434408","11477.9134320572","4864.98031850453","510705.546560055","399731.803823835","318582.826721614","436935.893919488","539298.30930901","364923.343125774"
"1_4-Lactone","6122085.38365039","6148329.5000026","4603685.15631322","8454736.55269462","4867835.06880399","4350742.18346761","47594421.5782479","57426154.9201154","43211336.4525054","14821452.0037847","15800326.8341309","19519649.2513584"
"1_5-Anhydro-D-mannitol","851735.51070938","1068636.7172853","670947.513409998","789544.004251768","759528.5748867","1436731.49252288","4648361.23176977","10691067.6607004","7435957.39756943","6902870.63786756","5959996.40819737","5044790.94313091"
"1_6_6-Trimethyl-2_7-dioxabicyclo[3.2.2]nonan-3-one","1944365.03075034","2187243.30612963","1155290.28766175","1879897.05798979","1706785.88407058","1688199.62437687","4121193.25957384","3319413.78372101","5268893.45011466","3093494.65577244","2276243.14042146","2182561.91513237"
