"name","area_2_1_15_S25_noOTA","area_2_2_15_S25_noOTA","area_2_3_15_S25_noOTA","area_2_1_15_S17_noOTA","area_2_2_15_S17_noOTA","area_2_3_15_S17_noOTA"
"group","cA_S25","cA_S25","cA_S25","cA_S17","cA_S17","cA_S17"
"2-(beta-D-Glucosyl)-sn-glycerol","791246.876630813","798217.123662974","669191.330034999","4798.92202729852","4798.92202729852","4798.92202729852"
"2-(Hydrazinocarbothioyl)hydrazinecarboxamide","4788431.92698428","3755378.56932353","5685488.54212914","4712264.2740208","2894968.95198154","2891320.01003546"
"2-(Phenylsulfanyl)cyclohexanone","4798.92202729852","4798.92202729852","4798.92202729852","215189.722941635","145139.63412001","175136.124054576"
"2-(tert-butyl)-1,3-thiazolane-4-carboxylic acid","4798.92202729852","4798.92202729852","4798.92202729852","1340463.21229977","729951.403036892","695007.621278736"
"2-[(2,2-dimethylbut-3-enoyl)amino]benzoic acid","261608.284965225","441710.054130889","241258.329929535","4798.92202729852","4798.92202729852","4798.92202729852"
"2-[(DIOCTYLCARBAMOYL)METHOXY]ACETIC ACID","486477.689199412","574825.815251523","456690.354917916","295879.921809583","295957.755403314","333533.609448696"
"2-[2-formyl-5-(methoxymethyl)-1H-pyrrol-1-yl]acetic acid","624597.678770671","1247285.02684473","208336.74875525","4798.92202729852","4798.92202729852","4798.92202729852"
"2-{[3-(2-Butoxyethoxy)-2-hydroxypropyl]amino}ethyl carbamate","791596.575401628","2451705.21014315","755274.097257575","4798.92202729852","4798.92202729852","4798.92202729852"
"2-{[4-(Cyclohexylamino)-1-methyl-1H-pyrazolo[3,4-d]pyrimidin-6-yl](ethyl)amino}ethanol","205992.127418195","236566.518701059","291056.75242948","483918.03125516","527899.209434147","735073.959138528"
"2-{1-[(TERT-BUTOXY)CARBONYL]AZETIDIN-3-YL}PROPANEDIOIC ACID","417775.988945451","704946.032033736","530285.125665752","4798.92202729852","4798.92202729852","4798.92202729852"
"2-Chloro-7,7-dimethyl-7,8-dihydro-5H-pyrano[4,3-b]pyridine-3-carboxamide","4798.92202729852","4798.92202729852","4798.92202729852","3330445.13925109","3207828.82488229","3237930.64305678"
"2-coumarate","266486.632449951","380100.081794162","236909.790756858","354929.284798552","241272.949387532","289461.946616484"
"2-Cyclododecyl-1-(4-morpholinyl)ethanone","4798.92202729852","4798.92202729852","4798.92202729852","118767.503364236","114997.133834318","139068.656211788"
"2-Furoate","1225246.5856824","1136348.59736016","628330.087894315","4798.92202729852","4798.92202729852","4798.92202729852"
"2-Hydrazino-4-methoxy-6-(4-morpholinyl)-1,3,5-triazine","4798.92202729852","4798.92202729852","4798.92202729852","9815616.50860549","9512376.2926845","10713364.4530481"
"2-Imino-N-[2-(4-methoxyphenyl)ethyl]-10-methyl-1-[3-(4-morpholinyl)propyl]-5-oxo-1,5-dihydro-2H-dipyrido[1,2-a:2',3'-d]pyrimidine-3-carboxamide","411834.860561554","1274190.75205006","1011772.47934914","4798.92202729852","4798.92202729852","4798.92202729852"
