"name","area_11_1_856_S25_noOTA","area_11_2_856_S25_noOTA","area_11_3_856_S25_noOTA","area_11_1_15_S25_noOTA","area_11_2_15_S25_noOTA","area_11_3_15_S25_noOTA","area_11_1_92_S25_noOTA","area_11_2_92_S25_noOTA","area_11_3_92_S25_noOTA","area_11_1_856_J25_OTA","area_11_2_856_J25_OTA","area_11_3_856_J25_OTA","area_11_1_15_J25_OTA","area_11_2_15_J25_OTA","area_11_3_15_J25_OTA","area_11_1_92_J25_OTA","area_11_2_92_J25_OTA","area_11_3_92_J25_OTA"
"group","cD_noOTA","cD_noOTA","cD_noOTA","cD_noOTA","cD_noOTA","cD_noOTA","cD_noOTA","cD_noOTA","cD_noOTA","cD_OTA","cD_OTA","cD_OTA","cD_OTA","cD_OTA","cD_OTA","cD_OTA","cD_OTA","cD_OTA"
"(6S)-Hydroxyhyoscyamine","42214.4972945139","40143.7565444042","50916.7778077019","23524.1648970307","25824.4025745752","30431.0746052537","25762.6706711066","25561.2913070743","27726.4196989854","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678"
"(6Z)-Octadecenoicacid","252152.765598726","143218.508602668","245967.270891057","224234.840170504","34391.205741642","88037.9330326514","536875.245574013","107024.547724224","111347.086464455","98712.1464171683","81970.6260780797","35287.6443821771","63188.180187352","103861.848053434","28329.3588333411","101453.107640218","42477.4910268601","142696.890706487"
"(6Z,9S)-3,4-trans-9-hydroxy-3-methyldodec-6-en-4-olide","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","291340.821720778","352699.470158791","197877.99131186","475278.653459508","428355.234208977","603444.346937001","170709.099780576","320736.162224168","281093.023141046"
"(7R*,8S*)-4,7,8-trihydroxy-3,6,7,8-tetrahydronaphtho[2,3-c]furan-5(1H)-one","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","161028.460562716","213139.458724918","206884.326260527","75400.9419006251","62558.0922803182","44510.4045478367","17965.5218004579","7829.26375756195","15465.6541560017"
"(7S_8S)-DiHODE","10908482.8088789","12966945.4775944","18334038.7793099","7638069.96751434","8594842.88457837","9531223.33873111","11267145.2522087","11931292.5879154","11745480.9208566","9915243.1589651","3489548.53569197","5826900.87349825","6864430.18276674","3332109.39012463","4817180.38044841","9312528.28683455","13917607.3482324","11258126.6626357"
"(9S_10S)-9_10-Dihydroxyoctadecanoate","115068.099614965","190560.820145788","271830.249675997","39623.3254875162","67807.1931890585","72461.6547847147","82858.6166973755","71230.0151434059","84768.0479186371","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678"
"(9Z)-(13S)-12_13-Epoxyoctadeca-9_11-dienoicacid","33484908.5736058","35324905.6608019","50106254.2727769","27125981.6318916","23746355.6404814","22779829.3102793","31786340.4252466","30226683.3525699","34411564.9062772","34053265.9442807","12177642.2481861","20338990.087463","29611221.0457465","13166097.175205","19616121.5110846","28082750.6538986","46792428.7770716","30894887.5832562"
"(9Z)-Tetradecenoicacid","689142.593667606","753831.140471717","1001364.96674563","217772.770404895","441861.413645537","500086.982013255","599731.821530682","602895.686855686","591481.644769451","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678"
"(9Z_15Z)-(13S)-12_13-Epoxyoctadeca-9_11_15-trienoicacid","8217161.57250928","10556772.6475693","14086526.0002128","7137197.72273395","6390986.19449014","7452712.37362329","12580094.5767421","8693796.58616888","10737447.1620389","7236744.64447864","3789626.57210451","4945317.36121959","7217781.90543723","2703182.82905619","4290159.06224247","12078210.5996694","23772604.669794","11750891.6988864"
"(E)-4-hydroxyphenylacetaldehydeoxime","21211582.3366164","24688439.4259562","19142414.5249969","11564382.6219912","4823804.844714","6450635.87434013","2098418.05435137","1771633.51101699","4343957.03106486","10742060.6013884","39235910.0944997","37873413.252066","14932377.7827987","1527440.89644551","12746287.6379226","2210590.05237036","4663315.77643072","1862226.77910614"
