"name","area_8_1_15_S25_noOTA","area_8_2_15_S25_noOTA","area_8_3_15_S25_noOTA","area_8_1_15_S17_OTA","area_8_2_15_S17_OTA","area_8_3_15_S17_OTA"
"group","cB_noOTA_S25","cB_noOTA_S25","cB_noOTA_S25","cB_OTA_S17","cB_OTA_S17","cB_OTA_S17"
"2-Hydroxyhepta-2_4-dienedioate","3138.1447156551","3138.1447156551","3138.1447156551","917731.401753656","959180.040324264","1032144.57038343"
"2-Imino-N-[2-(4-methoxyphenyl)ethyl]-10-methyl-1-[3-(4-morpholinyl)propyl]-5-oxo-1,5-dihydro-2H-dipyrido[1,2-a:2',3'-d]pyrimidine-3-carboxamide","3138.1447156551","3138.1447156551","3138.1447156551","2780579.01222374","1336925.88589298","1816104.65818822"
"2-isopentylquinoline-4-one","3138.1447156551","3138.1447156551","3138.1447156551","122738.813920419","168864.099836907","151291.573893458"
"2-Methyl-2-propanyl [(1-{[ethyl(methyl)sulfamoyl]amino}-3-methyl-2-butanyl)oxy]carbamate","3138.1447156551","3138.1447156551","3138.1447156551","140829.887085561","226680.824845445","199917.028763143"
"2-Methyl-2-propanyl 1,4,10-trioxa-7,13-diazacyclopentadecane-7-carboxylate","1144377.28244879","1975470.591931","1618148.42364937","3138.1447156551","3138.1447156551","3138.1447156551"
"2-Methyl-2-propanyl 4-(3-amino-1H-1,2,4-triazol-5-yl)-1-piperazinecarboxylate","3138.1447156551","3138.1447156551","3138.1447156551","138128.249628773","195733.888048348","171321.350303174"
"2-Methyl-2-propanyl 4-[(4-{[3-(dimethylamino)-2,2-dimethylpropyl]carbamoyl}-1-piperidinyl)carbonyl]-1-piperidinecarboxylate","1253596.56716579","1196254.71286799","1160924.89561922","658390.658955088","658648.845111312","608208.19835262"
"2-Methylhippuricacid","231704.585911466","378290.109528339","321012.212232787","3138.1447156551","3138.1447156551","3138.1447156551"
"2-Methylnaphthalene","246105.359784774","207092.943537891","216409.150529718","3138.1447156551","3138.1447156551","3138.1447156551"
"2-Methylserine","1167606.88190553","2024009.80030925","2189286.76098274","3138.1447156551","3138.1447156551","3138.1447156551"
"2-Oxo-delta3-4_5_5-trimethylcyclopentenylacetate","2058714.43323815","2456698.62681174","1333896.5871424","4562525.07158051","3520116.73534367","3315528.96954302"
"2-Oxooctadecanoicacid","935535.239626339","928739.160521734","816004.388831703","686504.343154029","1012481.11938777","1010162.40062929"
