"name","area_2_1_15_J17_noOTA","area_2_2_15_J17_noOTA","area_2_3_15_J17_noOTA","area_2_1_15_J25_noOTA","area_2_2_15_J25_noOTA","area_2_3_15_J25_noOTA","area_10_1_15_J17_OTA","area_10_2_15_J17_OTA","area_10_3_15_J17_OTA","area_10_1_15_J25_OTA","area_10_2_15_J25_OTA","area_10_3_15_J25_OTA"
"group","cC_noOTA","cC_noOTA","cC_noOTA","cC_noOTA","cC_noOTA","cC_noOTA","cC_OTA","cC_OTA","cC_OTA","cC_OTA","cC_OTA","cC_OTA"
"(S)-Carnitine","28953060.4986551","31372316.7984885","25831707.2302101","24508334.7319119","21276135.4158865","23013097.2488693","26224712.3825792","39099582.7135081","33298975.751874","32339097.9001497","20177779.2163325","16379313.3056522"
"(S)-Malic acid-1-O-beta-D-glucopyranoside","20693655.5577845","21898382.7189025","20988868.8115895","22738618.5846161","23610968.1151569","21800616.2994522","21218424.0728453","20906985.8464172","20987249.56261","20898077.390408","21951614.6112666","20712381.6354833"
"(S)-N-tetradecanoyl-HSL","420588.948259223","284882.93749203","323951.16158569","106010.884463618","117332.531910178","116087.109795133","548.2965307606","548.2965307606","548.2965307606","548.2965307606","548.2965307606","548.2965307606"
"(S,S)-Anacine","41715.7766770175","15401.8028262785","11040.1793054552","9885.81729427251","7494.35877949731","6409.05166319882","162267127.465168","118740883.114272","118248851.071365","68397818.7887569","82762678.2465755","222731180.648649"
"(Z)-2-(5-oxohexyl)pent-2-enedioic acid","809600.912701","791558.96331051","563436.049337606","324234.391439314","462732.806589587","339514.561516846","2840518.54730026","2971567.36758597","3147110.16093278","1213025.57800107","1619074.22054314","873192.04183805"
"(Z)-N-16-hydroxyhexadec-9-enoyl-L-alanine methyl ester","1114391.04182498","1142449.23722582","691277.01516627","463819.40590763","513456.722075401","452540.9833182","114922.911778701","75570.2459693555","74448.8147533643","196180.483385446","90941.2936823249","268705.085019536"
"?,?'-diglycerol","2846197.87184716","2467820.58485889","2899192.53153129","1856434.29166095","1796078.66569747","1852108.92782028","1627733.99449661","2135182.40647649","1952536.73453978","2447321.27343047","3153593.35753051","1875715.84942454"
"[(1E)-3-Butoxy-3-oxo-1-propen-1-yl](dibutyl)silyl","96357.4973550448","86293.1816821135","43540.5110676572","40503.8893019726","54764.049404322","184964.299417509","548.2965307606","548.2965307606","548.2965307606","548.2965307606","548.2965307606","548.2965307606"
"[(3aR,5R,5aS,8aS,8bR)-2,2,7,7-Tetramethyltetrahydro-3aH-bis[1,3]dioxolo[4,5-b:4',5'-d]pyran-5-yl]methyl docosanoate","548.2965307606","548.2965307606","548.2965307606","548.2965307606","548.2965307606","548.2965307606","368571.803149066","321120.221344438","270058.052409198","79495.731801258","8264.0086236432","76344.4799059552"
"[FA(18:0)]12R_13S-epoxy-9Z-octadecenoicacid","40654558.5022997","30967388.0570679","28340823.9592137","17388324.2895922","11435448.9048247","11947750.7300362","3056926.78990999","2786718.60843423","2968068.7084828","6026310.5515834","3834428.67539096","14163781.0207701"
"[FA(18:1)]9Z-Octadecen-12-ynoicacid","132658138.358867","120678346.471532","105641771.827966","18753394.3433906","24640747.467939","25339937.1707679","26894490.7190324","19935805.458875","17955439.3365179","31440531.3392578","20528594.9170231","68155384.429048"
"[FA(18:2)]9Z_11E-octadecadienoicacid","1000297.33743557","1993147.56329277","2754771.59708519","1704202.84966343","1623223.33638545","1601212.63862276","1755265.23839339","812706.729377535","1625810.85333384","2248681.13045217","1993407.12764214","2727340.42184515"
"[FA(18:3)]13S-hydroperoxy-9Z_11E_14Z-octadecatrienoicacid","22357479.9106644","25481661.4599513","15943515.9342686","3440337.94368471","5733206.10189159","4442233.60326854","2529668.83918875","2291024.99786925","1810483.12772387","5104736.7048657","2447257.50034937","8446080.06436735"
"[FA(18:4)]6Z_9Z_12Z_15Z-octadecatetraenoicacid","109519287.434692","115370144.639681","75117303.8936983","45144288.3239227","35011803.4569227","34451217.8299125","27500564.2259587","25594116.9626872","19737696.6312772","48887310.9407671","21602621.4813867","42773474.8859887"
"[FAdioxo_hydrox]6_9-dioxo-11R_15S-dihydroxy-13E-prostenoicacid","548.2965307606","548.2965307606","548.2965307606","548.2965307606","548.2965307606","548.2965307606","180108.27814586","190277.033138811","177765.461233621","181033.719558074","183470.672958362","183844.438477076"
"[FAhydroxy(18:0)]12_13-dihydroxy-9Z-octadecenoicacid","2259343.00274731","2047036.37457838","1545023.33437377","1469706.74108526","966125.896806625","824075.158182206","772664.372245942","766527.67567872","612318.800755682","2954922.85498312","1407102.83448692","11648805.0427894"
"[FAhydroxy(4:0)]N-(3S-hydroxy-butanoyl)-homoserinelactone","200756.637266081","172961.574052653","164715.228668177","184654.224109897","203934.592382826","151031.168649882","199412.680569487","110973.562156712","173244.590727011","175628.853918154","156739.827499452","185513.866020716"
"[FAhydroxy_oxo(7:0/2:0)]4-hydroxy-2-oxo-Heptanedioicacid","548.2965307606","548.2965307606","548.2965307606","548.2965307606","548.2965307606","548.2965307606","485690.431523296","474530.838824201","340275.313318656","75453.7197148769","73495.6570237939","120607.896993286"
"[FAoxo(12:0)]12-oxo-10E-dodecenoicacid","2936481.44323746","3646737.18188869","2573845.60176285","296878.004957717","421846.817184753","414256.519892517","316003.599043711","342953.57410031","372401.040271884","526031.019162869","364631.629481803","711062.188645476"
"[FAoxo_amino(6:0)]3-oxo-5S-amino-hexanoicacid","4098655.14182293","3410986.82198947","3227894.63883277","1002947.64209279","772448.812937179","792595.049239224","2015690.41318851","2032365.55075052","1830786.38626111","2448977.80562536","3899436.86517536","2303748.10371662"
"[FAtrihydroxy(18:0)]9_10_13-trihydroxy-11-octadecenoicacid","2766767.01846745","2823892.65645957","2091292.24053797","670479.532627079","849199.443434397","713067.308328982","288152.85213634","241612.093322073","218100.73067144","857341.271320679","321840.947246166","955611.811747447"
"[ST(3:0)]estra-1_3_5(10)-triene-2_4_17beta-triol","373440.424503782","304241.56062804","317566.376524374","6572.08831629163","28108.7689119987","28131.6522646897","548.2965307606","548.2965307606","548.2965307606","548.2965307606","548.2965307606","548.2965307606"
"[SThydrox]17beta-hydroxyandrost-4-en-3-one3-D-glucuronide","86080.7778548367","69593.4246430135","91812.7790446956","72931.3292470735","37917.1155574533","23515.1638481523","1211406.59354473","878511.995718786","917538.233626851","1136563.50539952","963505.374890624","1290952.75391585"
"[STtrihydrox]3alpha_11beta_21-5alpha-trihydroxy-pregnane-20-one","1551532.90267169","1214666.79985701","728278.154282338","355076.936857025","691709.876987369","503892.047211326","1641962.27948169","1942416.60273114","953467.820405324","1623932.38293579","1069673.96841934","1415815.88496273"
"1'-{2,5-Dioxo-1-[4-(2-oxo-1-pyrrolidinyl)benzyl]-3-pyrrolidinyl}-1,4'-bipiperidine-4'-carboxamide","548.2965307606","548.2965307606","548.2965307606","548.2965307606","548.2965307606","548.2965307606","137072.215853199","87034.3162209572","57092.3085894587","147893.65811008","69775.1004358917","163613.111885293"
"1'-Acetoxyeugenolacetate","2660.40272530616","2642.05724736105","2605.83770143673","2611.02201201154","2631.93007693076","2692.76425943401","127867.551323195","145762.179075085","110937.370928814","359271.439556424","581264.318309714","535561.335482199"
"1-(1-b-Glucopyranosyl)-3-(methoxymethyl)-1H-indole","548.2965307606","548.2965307606","548.2965307606","548.2965307606","548.2965307606","548.2965307606","163245.215888217","131730.193628922","97439.9578323533","254502.348382897","479269.478778458","448635.821460787"
"1-(1,3-Benzodioxol-5-yl)-3-(2,6-dimethylphenyl)urea","5449.58251439501","5447.22991708565","5082.75891865644","4201.0140425096","4175.66622180702","4166.58874746409","28010.5495782492","36744.87089643","36191.1780916989","1191474.53668182","589228.374927713","135484.06561868"
